row	column
24	2
54	171
24	3
46	177
21	15
38	183
22	12
46	166
54	172
52	171
48	181
47	164
28	137
50	180
28	139
23	18
47	177
27	112
28	138
47	181
24	62
50	166
30	161
54	167
30	139
19	54
50	164
36	161
23	59
38	161
17	22
48	177
46	181
37	184
47	166
54	173
48	178
49	176
51	164
51	170
49	179
49	177
50	179
37	161
51	173
45	181
33	161
34	161
27	102
25	2
36	184
38	184
27	95
49	164
29	136
37	183
39	183
46	164
21	51
42	162
52	164
22	56
29	137
24	93
23	77
20	47
27	111
23	16
30	142
26	138
21	12
41	162
27	109
51	172
44	181
39	184
53	164
23	7
29	138
51	166
53	172
40	183
44	165
30	144
35	184
52	172
40	184
54	169
24	92
29	139
24	94
22	7
41	181
35	161
43	181
25	90
23	14
49	178
41	183
52	174
45	165
30	145
52	166
54	170
22	78
27	110
22	11
41	184
24	95
19	38
29	142
21	11
54	164
17	28
22	55
42	183
30	140
42	184
52	170
53	166
17	27
19	8
58	165
53	170
46	165
30	141
54	166
26	80
52	173
53	173
22	13
56	166
55	164
29	140
55	166
21	55
43	183
24	96
24	15
29	145
47	165
20	12
43	184
42	181
27	101
27	93
27	94
29	143
18	40
19	40
20	54
44	183
40	182
29	141
42	182
44	182
46	182
20	11
34	184
19	13
24	97
41	182
25	4
43	182
45	182
19	12
47	182
29	144
48	182
48	165
18	13
45	183
33	184
20	7
25	58
19	58
20	13
27	100
19	39
24	63
26	92
23	15
46	183
48	166
27	98
55	170
50	165
49	165
24	72
21	13
18	35
21	52
24	16
23	78
20	64
21	7
27	97
25	91
22	14
27	96
47	183
27	99
26	93
49	166
51	175
18	9
20	14
19	11
53	174
38	185
35	185
55	165
54	165
53	165
20	63
36	185
21	54
52	165
18	11
25	92
34	185
20	62
24	19
56	165
21	10
25	79
21	14
33	185
24	91
18	36
32	185
20	61
51	165
20	10
24	18
28	185
57	165
19	9
31	185
21	53
18	10
20	53
52	175
21	8
25	93
17	35
22	23
23	79
20	60
29	185
30	185
22	8
26	94
17	34
17	33
17	32
24	64
19	53
18	39
20	8
22	25
24	89
24	90
32	184
19	10
19	42
26	95
20	9
28	186
25	94
31	186
29	186
30	186
20	51
24	17
17	29
32	186
27	186
22	10
18	12
20	52
27	187
23	80
19	59
26	96
28	187
24	70
25	78
37	185
20	48
18	42
24	20
26	187
18	37
24	88
20	50
50	176
51	176
19	60
20	49
24	71
24	65
25	95
21	9
26	4
19	47
22	26
18	38
24	87
26	3
22	24
19	49
24	84
23	81
33	186
25	77
27	1
17	30
50	177
19	48
24	66
51	177
23	82
19	52
21	25
25	76
19	50
25	96
19	45
19	46
21	21
24	69
19	51
26	97
23	83
24	68
24	86
17	31
19	43
23	84
24	67
25	75
19	44
24	85
17	23
25	97
26	98
27	2
21	24
18	46
18	43
18	45
21	22
25	71
25	72
21	23
34	186
25	98
25	70
18	23
18	44
26	99
17	26
25	74
25	69
25	73
27	3
25	99
26	100
25	100
26	101
25	101
18	25
26	102
17	24
18	24
25	102
26	116
26	103
25	103
26	104
17	25
25	104
26	115
26	105
26	106
25	105
25	106
26	114
26	109
26	112
26	113
26	107
26	108
26	110
26	111
25	107
25	109
25	108
45	143
40	139
50	154
42	138
46	146
50	156
54	153
48	151
49	155
44	141
47	149
47	150
43	146
51	154
52	152
36	133
45	144
56	158
46	145
45	147
46	149
47	148
46	148
32	120
56	155
35	126
46	152
45	145
47	147
55	157
59	158
39	134
46	147
53	156
49	151
36	128
57	159
37	134
50	153
47	153
48	154
56	157
51	155
52	155
53	153
58	158
33	122
52	154
49	153
32	121
58	157
34	124
60	160
51	152
59	161
59	159
57	156
57	157
55	154
57	158
52	153
58	160
53	154
28	119
56	156
60	161
58	159
51	156
51	153
52	156
50	155
37	131
34	125
49	152
32	122
33	123
36	129
59	160
53	155
55	156
44	142
43	144
49	154
50	152
45	146
41	140
46	151
54	154
54	155
41	138
41	137
40	136
46	150
48	153
43	141
45	149
43	143
42	142
44	143
47	152
42	140
48	152
44	145
40	138
44	147
47	151
43	145
54	156
55	155
37	130
45	150
32	126
33	126
29	115
31	120
33	127
34	128
44	148
34	127
31	124
38	133
34	129
43	142
34	126
42	141
35	128
44	144
38	135
35	127
